Reason	Quantities in H	Quantities in Pair	GoldStandard	SystemResults
null	; 6 members	 ;h: 6 members t: 74 individuals	ENTAILMENT	UNKNOWN
null	; more than 700,000 gallons	 ;h: more than 700,000 gallons	ENTAILMENT	UNKNOWN
31year <-- 31year	null	null	ENTAILMENT	ENTAILMENT
150000money <-- 150000money	null	null	CONTRADICTION	ENTAILMENT
3600000000.0000money <-- 3600000000.0000money	null	null	ENTAILMENT	ENTAILMENT
38year <-- 38year	null	null	UNKNOWN	ENTAILMENT
80percent <-- 80percent	null	null	NO	ENTAILMENT
1000000000.0000money <-- 1000000000.0000money	null	null	UNKNOWN	ENTAILMENT
null	; 16 policemen	 ;h: 16 policemen	ENTAILMENT	UNKNOWN
1200deacon <-- 1200deacon	null	null	UNKNOWN	ENTAILMENT
null	; 292 crashed	 ;h: 292 crashed	UNKNOWN	UNKNOWN
54000centrifug <-- 54000centrifug	null	null	YES	ENTAILMENT
null	; 87 people	 ;h: 87 people t: two years	UNKNOWN	UNKNOWN
18month <-- 18month	null	null	NO	ENTAILMENT
null	; two Cambodians	 ;h: two Cambodians t: two sides t: two countries	UNKNOWN	UNKNOWN
20train <-- 20train	null	null	ENTAILMENT	ENTAILMENT
null	; 25 people	 ;h: 25 people	CONTRADICTION	UNKNOWN
3peopl <-- 3peopl	null	null	ENTAILMENT	ENTAILMENT
null	; 1980's	 ;h: 1980's t: 80% t: two years	UNKNOWN	UNKNOWN
5masterpiec <-- 5masterpiec	null	null	UNKNOWN	ENTAILMENT
null	; 44 years	 ;h: 44 years	UNKNOWN	UNKNOWN
null	; one of 119 universities	 ;h: one of 119 universities t: 119 universities	ENTAILMENT	UNKNOWN
40percent <-- 40percent	null	null	UNKNOWN	ENTAILMENT
1500000000.0000money <-- 1500000000.0000money	null	null	CONTRADICTION	ENTAILMENT
3nurs <-- 3nurs	null	null	YES	ENTAILMENT
27state <-- 27state	null	null	ENTAILMENT	ENTAILMENT
null	; Two people	 ;h: Two people t: two attacks t: six men t: two days	CONTRADICTION	UNKNOWN
null	; 70 percent	 ;h: 70 percent t: 80 percent	ENTAILMENT	UNKNOWN
null	; 11 people	 ;h: 11 people	UNKNOWN	UNKNOWN
129day <-- 129day	null	null	ENTAILMENT	ENTAILMENT
